Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Armenia,ARM,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,299949,306410,227620,248200,312800,254180,322730,292212,216970,360144,407583,305303,451641,391829,208587,447554,409182,369076.6,321954,435470,451049,543659,574673,595756.6,598966,298029,334342,195063,242010.7,155061.24
Armenia,ARM,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,162767,181430,158077,133512,166633,186100,182500,164489,156883,191699,184869,194815,198015,202111,157557,172630,170141,164014,155666,156138,170172,176945,180626,190209,194717,150892,127436,115382,117720,69118
Aruba,ABW,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Cereal production (metric tons),AG.PRD.CREL.MT,10781927,16997800,16367969,17767379,17448064,14417267,25274482,23343860,16402312,23703676,14186565,31068963,28602111,24942194,24001774,19899619,21891006,22375364,23045332,22682618,19863778,24099636,27487013,15699410,27591195,35990811.3,30711400,33644600,35386938,34717520.71,38590113,17553202,42384121.8,34357112,40504980,17771911,26866214,34140448.13,33464873.64,39973081.87,43362426.46,35589235.54,38420401.88,37195914.48,35229824.87,50049458.35,33860811.85,29235685.26,26612822.12,51077870.98
Australia,AUS,Land under cereal production (hectares),AG.LND.CREL.HA,11555097,12891607,11744994,12564985,12967979,14599138,15042503,15457828,15587177,16912666,16201605,18873052,17772613,17165159,15771295,13857882,13434992,13347412,13428753,13413725,11921408,13146872,13640768,12361512,14726894,16546006,15923700,16887700,16792290,17716654,17561143,17196654,20026924,20274539,19181586,18110965,20159099,20674118,20141256,19057341,19431383,18381762,17971289,18347387,16976709,18716022,16633087,16526441,16122631,20046077
Austria,AUT,Cereal production (metric tons),AG.PRD.CREL.MT,3318492,3787094,4014005,3704116,4277716,4203640,4628713,3982485,4826198,4356211,5026041,5075517,5353319,5551181,5108350,4964599,5359343,5009116,5289752,5044859,4322590,4206456,4435935,4451882,4494851.92,5010607.17,4772664.73,4809095.2,4494383.16,4837093.57,4762611.9,4269509.66,5323713.99,4907056.68,4467510.5,4766039.24,5756463.63,5164152.4,4866648.45,5712206.55,4883379.22,4599433.26,5720308.58,4853895.01,5701697.09,4874849.22,4787200,5399310,5649770,5316150
Austria,AUT,Land under cereal production (hectares),AG.LND.CREL.HA,975268,982257,986019,987058,1024869,1026231,1053361,1067918,1068780,1050430,1051744,1067296,1051447,1053466,1058754,1000352,966344,946951,948437,924565,838900,826603,822728,809135,833764,849121,840960,811405,831695,825984,816775,812408,819595,800099,780782,815523,845637,839771,824426,809471,813509,786663,811771,783127,786833,778650,778940,776400,764890,747450
Azerbaijan,AZE,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1325023,1136987,1024216,909592,999404,1074720.7,915652,1065306.4,1496224.24,1955915,2133184,1993208,2086640,2056186,2011622,1943652.6,2419910.7,2903361,1928779,2370823.1,2707274.3,2856572,2298047.5,2898559,2965670,2824527.1,3181818,3416764.3,3151182,3258169.4
Azerbaijan,AZE,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,626829,702734,631164,603597,621357,643759,579134,512170,640713,752066,813191,765399,806034,792935,773895,728677,882711,1113798,954540,954274,1017875,1061005,980561,940007,986891,959992,1055769,1054887,976402,988089
"Bahamas, The",BHS,Cereal production (metric tons),AG.PRD.CREL.MT,550,580,595,610,625,640,730,720,719,720,740,750,800,820,820,750,700,700,750,750,500,400,312,312,312,348,377,379,312,300,305,340,355,360,380,400,500,600,678,687,690,690.83,687.62,597.18,658.54,647.78,680.05,662.12,663.32,668.49
"Bahamas, The",BHS,Land under cereal production (hectares),AG.LND.CREL.HA,555,580,595,604,612,621,630,630,630,630,635,600,600,610,610,550,500,500,500,450,300,250,174,174,174,200,190,175,126,100,100,100,100,100,100,100,105,100,90,94,94,93,91,72,85,83,80,79,79,79
Bahrain,BHR,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,Cereal production (metric tons),AG.PRD.CREL.MT,15323537,18021512,17105414,19322564,17908126,19772481,19984399,19658591,21698327,21591389,22339648,22990185,23256274,24134965,24266331,24304321,24449929,27886213,27746673,28326730,28516927,28177410,26325480,27704115,29620075,29673515,31577495,36403000,39503000,38029335,39341455,40015280,37759046,41146756,42044685,44841300,48946800,49735853,51862850,52628364,52801014,54357477,55241123,55438379,54262297,58495624,58811726.54,59181759.37,59960014.28,62156213.25
Bangladesh,BGD,Land under cereal production (hectares),AG.LND.CREL.HA,9857487,10094822,10012328,10549360,10123512,10278378,10371255,10507816,10817980,11143697,11181582,10423553,10895119,11233180,11304320,11036881,10935858,11153325,11140604,10954903,10860774,10642068,10632902,10683381,10994172,11062180,11020640,11680974,11672247,11485595,11588093,11500907,10978274,11176338,11178034,11152085,11930855,11909888,12093951,12090666,12011654,12056374,12165112,12156367,11793602,12430005,12274928,12300398,12231418,12519276
Barbados,BRB,Cereal production (metric tons),AG.PRD.CREL.MT,2073,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2400,2000,2100,2100,2200,2200,2300,2100,1800,1600,1300,1100,800,650,520,390,300,250,218,263,250,260,270,280,267.8,262.66,259.58,268.89,320,340,81,122,95.57,73.86,109.3,42,86,49.9
Barbados,BRB,Land under cereal production (hectares),AG.LND.CREL.HA,760,760,765,765,765,765,765,765,800,800,800,800,880,800,820,820,840,840,860,800,700,600,500,400,300,250,200,150,115,96,83,100,94,95,100,105,98,93,90,90,100,120,30,45,35,26,39,15,31,18
Belarus,BLR,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7135000,7329074.21,5951814.52,5329554.84,5496095.16,5937335.48,4510975.8,3427316.12,4579256.44,4885396.76,5723737.08,5132062.2,6604944.45,6104298.71,5700180.97,7029909.22,8728461.48,8169503.73,6741683.99,7996331.18,8843847.86,7233152,9033775,8186980,7075658,7529412,5813781,6991979,8403688,7595631.26
Belarus,BLR,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2603000,2625828,2623860,2583092,2508524,2468056,2386888,2282620,2348652,2441884,2310016,2109314,2211921,2142953,2234936,2440144,2458912,2425695,2400594,2466930,2541965,2404759,2428139,2218602,2206134,2241784,2134358,2258670,2374010,2416553
Belgium,BEL,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2513100,2358600,2639300,2560990,2931988,2786575,2684227,2718733,3113270,3255409,3041408,2939102,2957908,3097497,3162852,3163733,2287774,2764392,2431020,2814390,2565850,2452580
Belgium,BEL,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,313300,287000,310474,300210,319218,322166,320570,314751,350366,335264,325351,326241,341312,336226,335211,321445,327535,305433,304520,313110,304350,310210
Belize,BLZ,Cereal production (metric tons),AG.PRD.CREL.MT,20409,24267,20321,16646,24449,25644,25854,22090,27443,31967,29121,23722,21830,25209,22887,27818,28672,28572,29835,42005,38130,43640,34364,43264,55948,59873,52236,62300,47875,57267,56428,60036,53937,71758,53390,70153,59522,87276,98489,91768,91627,111934,94519,80959,91556.38,118376,99341,85114,112007,136612
Belize,BLZ,Land under cereal production (hectares),AG.LND.CREL.HA,14424,13042,15475,15782,16857,16106,13961,12909,13800,15432,14342,12718,14305,16630,13056,16300,17000,17720,14815,16903,16653,19970,18104,22560,22335,25007,21247,22207,19797,18473,23042,21052,22800,25007,19979,23866,24523,32487,30554,29082,26550,30959,26295,27938,28932,27991,24567,28886,31763,31848
Benin,BEN,Cereal production (metric tons),AG.PRD.CREL.MT,271788,344166,335444,298579,277970,326072,417890,389148,345952,361635,352337,351157,483030,535415,496618,400650,556977,565013,545898,584864,609496,625249,645357,734332,714355,876553,867173,974484,993383,942790,1086000,1042770,1108856,1151853,1095952,1158679,1267588,1508142,1333435.72,1544233,1576090.51,1791887.87,1714040.4,1643227.33,1814288.87,1897503.59,2320755.59,2177782.78,2203105.09,2308912.73
Benin,BEN,Land under cereal production (hectares),AG.LND.CREL.HA,488973,500470,473845,403870,383638,432443,563890,539828,481650,553152,542482,585376,604468,625625,593932,552571,667296,661838,643859,665691,667314,680219,674452,675896,707595,784772,821252,838189,901324,881728,960147,907779,967614,1013628,920580,901020,1093977,1059450,1110660,1017434,1147742,1211080,1173784,1229296,1246199,1350154,1624577,1758745,1537675,1639128
Bermuda,BMU,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Cereal production (metric tons),AG.PRD.CREL.MT,132000,134900,138200,141100,143600,146900,150100,154100,158100,163700,166230,171700,178891,167300,164350,139700,94871,94800,121320,100025.47,101312.04,116779.57,131911.14,149534.32,162306.75,169824.81,168080.92,151252.3,106650,115000,91437,106447,153969,192631,184653,190853,166007,143552,144634,184333,167800,171148.72,170212.58,175635.48,176187.02,192713,125764.63,103324.48,103332.87,77651.86
Bhutan,BTN,Land under cereal production (hectares),AG.LND.CREL.HA,91600,93700,95800,97450,99800,101700,104000,107450,110950,112300,115017,120150,124030,120700,119800,118200,93040,93380,94799,97352,95251,100313,102967,109483,110600,110204,107782,100386,74170,79342,59031,59426,51405,82499,83943,95467,60554,66446,58578,65794,56994,53046,52295,50531,52229,56489,36805,33539,30043,23232
Bolivia,BOL,Cereal production (metric tons),AG.PRD.CREL.MT,491455,498445,516196,592260,631970,557490,557915,595580,625905,766100,700371,496789,865748,972965,839006,865495,834282,845276,792648,902497,952128,1113756,956890,1089553.07,1138597.59,944951.86,1157807.09,1137351,1244321.76,1324781,1315565.21,1462502,1255985,1659795,1865967,1733466,2052972,2378919,2133671,1988006.81,2125542.86,2503244.71,2449241,2934919,2660808,2278993.69,3267425.32,2912082,2914459,3703894.03
Bolivia,BOL,Land under cereal production (hectares),AG.LND.CREL.HA,451760,456646,477335,519250,516695,536940,519405,526295,560535,589060,558838,476083,662023,728061,651475,649338,631546,624287,582495,664550,680232,724636,670717,697917,705642,680721,774566,832306,757852,742201,768259,744911,775942,861350,888530,983097,1018121,1014013,941043,972000,1005820,1457127,1250800,1287146,1260291,1234818,1400133,1434439,1439926,1480305
Bosnia and Herzegovina,BIH,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1080400,962300,847400,671360,841400,1242059,1326660,1368792,930230,1137981,1307700,793364,1438704,1349772,1340995,1000576,1374701,1390724,1104907,1118257,905975,1222498,1082655,1137236,1657556,1167004.74,1743762,1666131,1944178,1400676
Bosnia and Herzegovina,BIH,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,304100,274631,235000,187200,237900,352483,381096,364394,364765,355432,341599,314624,324504,317350,312527,310427,310520,308836,286769,300208,301933,303586,272202,298319,319268,312697,317749,311152,321317,316742
Botswana,BWA,Cereal production (metric tons),AG.PRD.CREL.MT,79500,34517,110750,67050,123147,73600,34200,9750,45900,54195,19320,16765,9525,20670,23500,24275,108280,77275,54430,52300,22500,46375.59,55405.27,62769.17,89530.31,43946.35,14934,20827.3,24576.15,23080,34479.21,35885.13,26672.45,36512.9,43809.86,31312,36741.01,55377.58,50345,74024,37457,19366,50253.48,43967.04,47045.26,23207.96,81006.95,48579.57,162222.58,122201.31
Botswana,BWA,Land under cereal production (hectares),AG.LND.CREL.HA,83818,125250,160270,150270,191470,177300,127300,73700,193500,196900,67100,63200,63200,103000,118400,127300,288300,267500,204982,137174,77933,109311,247549,136931,276883,158760,60531,91141,161032,41627,96508,29548,97254,83251,117650,48987,101822,152311,135467,163673,102001,88982,164658,46855,99749,73297,147214,71829,156785,121752
Brazil,BRA,Cereal production (metric tons),AG.PRD.CREL.MT,22703928,23721606,26240014,26238419,31143200,30913834,24033646,27147322,33217492,32050567,33838263,29197566,32711289,36011139,37298400,44148398,42905037,43934410,32490390,36682063,44057994,43073467,45845331.58,49641823,42436960.06,44874819.85,40742023.47,47631962.27,46527201.96,57125393.44,50875594,67454328.6,63953364.1,55670925,59148978,69441634,79745466.44,70914790.87,75160152.06,77586276,89908244,100901726,101402184,106026684.77,84166681.6,117977043.93,103259650.85,121202408.5,125567855.04,112220282.9
Brazil,BRA,Land under cereal production (hectares),AG.LND.CREL.HA,17468377,16803961,18023969,19309530,21558886,21283876,19860058,20861400,21080553,19893608,21903982,18083861,19502145,19702168,22404844,23456712,23082577,21970521,18512400,19821126,20564117,18293707,20063935,19752837,17519708,17794686,15788868,17435114,17601718,18148670,17883426,19925261,20420482,19313005,18423582,19543770,20814408,20077516,18601205,19216441,19611226,20906133,21851934,21202900,20127615,22645899,21483003,22776054,23891971,25056632
British Virgin Islands,VGB,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Cereal production (metric tons),AG.PRD.CREL.MT,4000,6116,9766,9882,7230,4259,3836,4615,2747,2494,2366,2676,3270,1082,1540,1080,1930,1560,930,880,740,790,785,508,446,446,446,200,299,350,372,547,620,851,886,983,911,891,1072,1480,1756,1237,1382,1983,1579,1527,1569,1499.95,2511.31,2675
Brunei Darussalam,BRN,Land under cereal production (hectares),AG.LND.CREL.HA,2473,2522,3363,3636,3680,2833,2410,2121,1991,1828,1596,1694,2100,873,721,1016,890,700,600,550,600,350,470,310,270,357,417,380,460,480,510,690,757,975,1095,1355,1300,1731,1848,1604,1797,1280,950,924,1013,920,783,773,853,927
Bulgaria,BGR,Cereal production (metric tons),AG.PRD.CREL.MT,8152773,7329016,6608375,7706452,8492409,7577645,7491580,8290010,7647576,8449300,9967359,7931689,9249148,5382902,8492188,7275590,7816939,9527371,8125944,8983805.61,6593632.81,5697849.17,6441668.21,6543382,3403520,6187844,5378183,5221441,4388340.55,6076855.95,6770394,3814085,7462821,5839080,5531830,3870212.73,7015582,6243088,7136449,7521107.72,6988023,9153930,9530421,8570299,8752219,9475846,10109850,11130990,8598290,11639300
Bulgaria,BGR,Land under cereal production (hectares),AG.LND.CREL.HA,2202120,2098266,2075355,2246457,2269586,2240961,2141680,2186389,2064114,2080033,2134550,2133798,2056324,1846596,2098370,1969203,2109569,2164286,2055264,2251105,2232376,2267609,2301503,2131732,1783266,2054766,2003256,1771884,1783922,2096588,2145075,1608438,1830124,1723955,1548461,1533535,1713492,1829228,1770374,1769184,1903165,2006986,1960700,1835350,1816636,1729267,1817770,1927560,1966050,1956320
Burkina Faso,BFA,Cereal production (metric tons),AG.PRD.CREL.MT,880284,831365,1086580,1254319,995823,1109843,1169854,1180823,1047988,1270034,1209967,1119418,1089368,1583270,1889857,1637101,2100562,1951671,1517900,2454900,2478600,2527355,2232037,2307988,2481805,2013552,2656756,2699886,2279246.55,3109092,3119050,3564281,2901973,3649533,3680674,3108811,4358518,3626638,4560546,3666404,4898544,4869722,4469300,4189665,4567066,4063197,5180701.81,4939629.91,5179103,4710191.1
Burkina Faso,BFA,Land under cereal production (hectares),AG.LND.CREL.HA,1908554,1904280,2225750,2247300,1994000,2098896,2029709,2035662,1839110,2202721,2129170,2173976,1846796,2233598,2701884,2551189,2889595,2900530,2528900,2800600,2844000,2699678,2833071,2711913,2707855,2858017,2988490,2957438,2661349,3212574,3308691,3577488,3084961,3237581,3057328,3320950,4191339,3619256,4291496,3684446,4071781,4210656,3646006,3584230,4017586,4026919,4495792,4272786,4104826,3761051
Burundi,BDI,Cereal production (metric tons),AG.PRD.CREL.MT,155486,175827,143009,179475,181600,185500,202042,213400,216600,227000,221000,227000,224000,256000,266000,279300,291700,295900,293300,299800,306100,299700,224724,269037,272649,304757,260539,264518,254735,283645,292395,282588,290589,296951,296904,302211,298181,310616,322677.98,337662.22,256889.05,254053.73,236266.5,259661.44,467750.63,375173.02,459657.97,546963.29,465598.52,457790.83
Burundi,BDI,Land under cereal production (hectares),AG.LND.CREL.HA,151723,158398,146930,162468,164370,167100,163700,194000,203668,210102,205500,207500,202000,222126,219195,227400,244250,216150,217500,219000,220000,214974,176284,202000,196675,212528,204200,202000,207403,221000,223400,220067,218800,220900,232500,232202,232800,239700,261942,292695,232076,215561,177268,215634,315399,333380,347477,378342,369028,309009
Cabo Verde,CPV,Cereal production (metric tons),AG.PRD.CREL.MT,575,714,2200,4000,5000,1500,1000,6000,8500,3000,4400,2700,2525,1323,12138,21182,16507,9714,11418,8258,10265,11888,8163,8166,10190,4900,4883,36439,24341,19549,5067,12154,10000,3648,6378,4425,8039,7383,7047,5569,6001,5785,1065,8677,5642,4,719.4,640,432,449
Cabo Verde,CPV,Land under cereal production (hectares),AG.LND.CREL.HA,3000,3000,7000,9000,11000,4000,3000,14000,16000,7000,10000,7000,5115,3300,22716,34882,34256,35480,34124,32655,33975,33105,32612,31066,32127,33347,34518,31358,30626,30674,34122,32053,25963,15000,29263,27873,34385,31983,32028,31318,30582,31727,31036,31386,31698,31699,31698,27581,27581,27581
Cambodia,KHM,Cereal production (metric tons),AG.PRD.CREL.MT,2006600,1122700,705000,1145000,1175000,1080000,1080000,608000,1818000,1575000,2000000,2082000,1308000,1854000,2144000,1853000,2541000,2726000,2588000,2460000,2281000,2428764,2268500,3502700,3468563,3457340,3558381,4136174,4183064,4284605,3971406,5025548,4426949,6233960,6641061,7250000,7787338,8509896,9018589,9496000,10241849,10317000,9874000,9735000,10615000,11268000,12124000,11780700,12148000,12330000
